成交日期,成交时间,证券代码,证券名称,买卖方向,成交数量,成交均价,成交金额,手续费,印花税,其他费,发生金额
2026-04-27,10:02:06,600884,杉杉股份,买入,1300,15.670,20371.00,5.20,0.00,0.00,-20376.20
2026-04-27,10:02:16,000938,紫光股份,买入,700,32.450,22715.00,5.35,0.00,0.00,-22720.35
2026-04-27,10:09:34,603881,数据港,卖出,1000,37.400,37400.00,0.00,37.40,0.00,37372.13
2026-04-27,10:12:51,600089,特变电工,买入,1400,26.840,37576.00,9.23,0.00,0.00,-37585.23
2026-04-28,09:38:56,000938,紫光股份,卖出,700,31.464,22025.00,0.00,22.03,0.00,22008.81
2026-04-28,09:39:25,600276,恒瑞医药,买入,300,57.300,17190.00,5.17,0.00,0.00,-17195.17
2026-04-28,09:42:00,600089,特变电工,卖出,1300,26.210,34073.00,0.00,34.07,0.00,34047.60
2026-04-28,09:42:13,600276,恒瑞医药,买入,600,56.900,34140.00,8.38,0.00,0.00,-34148.38
2026-05-06,09:44:45,600276,恒瑞医药,卖出,500,53.810,26905.00,0.00,26.91,0.00,26884.95
2026-05-06,09:45:12,000938,紫光股份,买入,900,32.870,29583.00,6.96,0.00,0.00,-29589.96
2026-05-07,13:22:07,600276,恒瑞医药,卖出,400,53.420,21368.00,0.00,21.37,0.00,21352.08
2026-05-07,13:22:18,600884,杉杉股份,买入,1300,16.990,22087.00,5.42,0.00,0.00,-22092.42
2026-05-11,10:35:25,600884,杉杉股份,卖出,2600,16.530,42978.00,0.00,42.98,0.00,42945.96
2026-05-11,10:35:35,300408,三环集团,买入,400,89.870,35948.00,8.46,0.00,0.00,-35956.46
2026-05-11,10:56:58,600089,特变电工,卖出,1000,27.970,27970.00,0.00,27.97,0.00,27949.15
2026-05-11,10:57:30,300408,三环集团,买入,400,90.120,36048.00,8.49,0.00,0.00,-36056.49
2026-05-11,14:00:04,000938,紫光股份,卖出,900,31.810,28629.00,0.00,28.63,0.00,28607.95
2026-05-11,14:00:12,300408,三环集团,买入,300,87.950,26385.00,6.21,0.00,0.00,-26391.21
2026-05-20,09:34:33,600089,特变电工,卖出,700,26.880,18816.00,0.00,18.82,0.00,18801.40
2026-05-20,09:58:27,300408,三环集团,买入,200,94.970,18994.00,5.00,0.00,0.00,-18999.00
